,Unnamed: 0,index,LOCATION,TIME,Japan_unemployment_rate,time_close,BTC_closing_price,yfit,xfit
109,,,,,,,,2.5368813623620774,4659.903453453453
110,,,,,,,,2.535568684115588,4701.236726726726
111,,,,,,,,2.534301352553471,4742.57
112,,,,,,,,2.533079056618366,4783.903273273273
113,,,,,,,,2.531901486023789,4825.236546546546
114,,,,,,,,2.530768331254138,4866.56981981982
115,,,,,,,,2.5296792835646897,4907.903093093093
116,,,,,,,,2.5286340349816014,4949.236366366366
117,,,,,,,,2.527632278301911,4990.56963963964
118,,,,,,,,2.5266737070935354,5031.902912912913
119,,,,,,,,2.5257580156952715,5073.236186186186
120,,,,,,,,2.5248848992167963,5114.56945945946
121,,,,,,,,2.5240540535386673,5155.902732732732
122,,,,,,,,2.5232651753123205,5197.2360060060055
123,,,,,,,,2.5225179619600744,5238.569279279279
124,,,,,,,,2.521812111675125,5279.902552552552
125,,,,,,,,2.521147323421549,5321.2358258258255
126,,,,,,,,2.5205232969343037,5362.569099099099
127,,,,,,,,2.5199397327192257,5403.902372372372
128,,,,,,,,2.5193963320530317,5445.2356456456455
129,,,,,,,,2.518892796983318,5486.568918918919
130,,,,,,,,2.5184288303285625,5527.902192192192
131,,,,,,,,2.5180041356781206,5569.2354654654655
132,,,,,,,,2.51761841739223,5610.568738738739
133,,,,,,,,2.5172713806020055,5651.902012012012
134,,,,,,,,2.5169627312094454,5693.2352852852855
135,,,,,,,,2.516692175887425,5734.568558558559
136,,,,,,,,2.5164594220797016,5775.901831831831
137,,,,,,,,2.5162641780009105,5817.235105105105
138,,,,,,,,2.5161061526365693,5858.568378378378
139,,,,,,,,2.5159850557430734,5899.901651651651
140,,,,,,,,2.5159005978476996,5941.234924924925
141,,,,,,,,2.5158524902486037,5982.568198198198
142,,,,,,,,2.5158404450148213,6023.901471471471
143,,,,,,,,2.5158641749862696,6065.234744744745
144,,,,,,,,2.515923393773744,6106.568018018018
145,,,,,,,,2.5160178157589215,6147.901291291291
146,,,,,,,,2.516147156094357,6189.234564564565
147,,,,,,,,2.516311130703487,6230.567837837838
148,,,,,,,,2.516509456280627,6271.901111111111
149,,,,,,,,2.5167418502909733,6313.234384384385
150,,,,,,,,2.5170080309706018,6354.567657657657
151,,,,,,,,2.5173077173264677,6395.90093093093
152,,,,,,,,2.517640629136407,6437.234204204204
153,,,,,,,,2.518006486949135,6478.567477477477
154,,,,,,,,2.5184050120842487,6519.90075075075
155,,,,,,,,2.5188359266322227,6561.234024024024
156,,,,,,,,2.5192989534544123,6602.567297297297
157,,,,,,,,2.519793816183054,6643.90057057057
158,,,,,,,,2.5203202392212627,6685.233843843844
159,,,,,,,,2.5208779477430334,6726.567117117117
160,,,,,,,,2.5214666676932422,6767.90039039039
161,,,,,,,,2.5220861257876446,6809.233663663664
162,,,,,,,,2.5227360495128752,6850.566936936937
163,,,,,,,,2.5234161671264506,6891.90021021021
164,,,,,,,,2.5241262076567645,6933.233483483483
165,,,,,,,,2.5248659009030923,6974.566756756756
166,,,,,,,,2.52563497743559,7015.9000300300295
167,,,,,,,,2.526433168595292,7057.233303303303
168,,,,,,,,2.5272602064941143,7098.566576576576
169,,,,,,,,2.5281158240148507,7139.8998498498495
170,,,,,,,,2.528999754811177,7181.233123123123
171,,,,,,,,2.5299117333076473,7222.566396396396
172,,,,,,,,2.5308514946996974,7263.8996696696695
173,,,,,,,,2.5318187749536425,7305.232942942943
174,,,,,,,,2.5328133108066764,7346.566216216216
175,,,,,,,,2.5338348397668744,7387.8994894894895
176,,,,,,,,2.534883100113191,7429.232762762763
177,,,,,,,,2.5359578308954607,7470.566036036036
178,,,,,,,,2.537058771934399,7511.899309309309
179,,,,,,,,2.5381856638216,7553.232582582582
180,,,,,,,,2.5393382479195377,7594.565855855855
181,,,,,,,,2.5405162663615677,7635.899129129129
182,,,,,,,,2.541719462051924,7677.232402402402
183,,,,,,,,2.5429475786657205,7718.565675675675
184,,,,,,,,2.5442003606489525,7759.898948948949
185,,,,,,,,2.5454775532184932,7801.232222222222
186,,,,,,,,2.5467789023620986,7842.565495495495
187,,,,,,,,2.548104154838402,7883.898768768769
188,,,,,,,,2.549453058176917,7925.232042042042
189,,,,,,,,2.5508253606780382,7966.565315315315
190,,,,,,,,2.552220811413041,8007.898588588589
191,,,,,,,,2.553639160224078,8049.231861861862
192,,,,,,,,2.555080157724184,8090.565135135134
193,,,,,,,,2.556543555297272,8131.898408408408
194,,,,,,,,2.558029105098138,8173.231681681681
195,,,,,,,,2.559536560052454,8214.564954954954
196,,,,,,,,2.561065673856775,8255.898228228227
197,,,,,,,,2.5626162009785336,8297.231501501501
198,,,,,,,,2.564187896656045,8338.564774774773
199,,,,,,,,2.565780516898503,8379.898048048048
200,,,,,,,,2.56739381848598,8421.23132132132
201,,,,,,,,2.5690275589694305,8462.564594594593
202,,,,,,,,2.5706814966706886,8503.897867867867
203,,,,,,,,2.572355390682467,8545.23114114114
204,,,,,,,,2.5740490008683596,8586.564414414413
205,,,,,,,,2.57576208786284,8627.897687687686
206,,,,,,,,2.5774944130712623,8669.23096096096
207,,,,,,,,2.579245738669859,8710.564234234233
208,,,,,,,,2.5810158276057433,8751.897507507507
209,,,,,,,,2.5828044435969093,8793.23078078078
210,,,,,,,,2.5846113511322297,8834.564054054053
211,,,,,,,,2.586436315471459,8875.897327327326
212,,,,,,,,2.5882791026452288,8917.2306006006
213,,,,,,,,2.590139479455053,8958.563873873873
214,,,,,,,,2.592017213473325,8999.897147147145
215,,,,,,,,2.5939120730433176,9041.23042042042
216,,,,,,,,2.595823827279184,9082.563693693692
217,,,,,,,,2.597752246065957,9123.896966966966
218,,,,,,,,2.59969710005955,9165.230240240238
219,,,,,,,,2.601658160686755,9206.563513513513
220,,,,,,,,2.603635200145246,9247.896786786785
221,,,,,,,,2.605627991403575,9289.23006006006
222,,,,,,,,2.607636308201175,9330.563333333332
223,,,,,,,,2.60965992504836,9371.896606606606
224,,,,,,,,2.6116986172263204,9413.229879879878
225,,,,,,,,2.6137521607871306,9454.563153153153
226,,,,,,,,2.615820332553743,9495.896426426425
227,,,,,,,,2.617902910119989,9537.2296996997
228,,,,,,,,2.619999671850583,9578.562972972972
229,,,,,,,,2.6221103968811166,9619.896246246244
230,,,,,,,,2.624234865118062,9661.229519519518
231,,,,,,,,2.626372857238772,9702.56279279279
232,,,,,,,,2.6285241546914793,9743.896066066065
233,,,,,,,,2.630688539695295,9785.229339339337
234,,,,,,,,2.632865795240213,9826.562612612612
235,,,,,,,,2.635055705087105,9867.895885885884
236,,,,,,,,2.637258053767722,9909.229159159158
