,Unnamed: 0,LOCATION,TIME,Japan_inflation_rate,index,time_close,ETH_closing_price,yfit,xfit
355,,,,,,,,0.352177053001969,1198.3218598331666
356,,,,,,,,0.35119167281009633,1201.6785132599268
357,,,,,,,,0.3501859971834277,1205.0351666866868
358,,,,,,,,0.3491597093423275,1208.391820113447
359,,,,,,,,0.3481124898000384,1211.748473540207
360,,,,,,,,0.3470440163882734,1215.1051269669672
361,,,,,,,,0.34595396428418373,1218.4617803937272
362,,,,,,,,0.3448420060387208,1221.8184338204874
363,,,,,,,,0.34370781160641484,1225.1750872472473
364,,,,,,,,0.34255104837658945,1228.5317406740076
365,,,,,,,,0.3413713812060313,1231.8883941007675
366,,,,,,,,0.34016847245313664,1235.2450475275277
367,,,,,,,,0.33894198201355413,1238.6017009542877
368,,,,,,,,0.33769156735734396,1241.958354381048
369,,,,,,,,0.3364168835676727,1245.315007807808
370,,,,,,,,0.335117583381064,1248.671661234568
371,,,,,,,,0.33379331722922573,1252.028314661328
372,,,,,,,,0.33244373328247045,1255.3849680880883
373,,,,,,,,0.3310684774947528,1258.7416215148482
374,,,,,,,,0.32966719365033786,1262.0982749416085
375,,,,,,,,0.328239523412125,1265.4549283683684
376,,,,,,,,0.3267851063716414,1268.8115817951286
377,,,,,,,,0.3253035801007282,1272.1682352218886
378,,,,,,,,0.3237945802049342,1275.5248886486488
379,,,,,,,,0.32225774037863897,1278.8815420754088
380,,,,,,,,0.3206926924619201,1282.238195502169
381,,,,,,,,0.31909906649918707,1285.594848928929
382,,,,,,,,0.3174764907995941,1288.9515023556892
383,,,,,,,,0.3158245919992554,1292.3081557824491
384,,,,,,,,0.3141429951252747,1295.6648092092094
385,,,,,,,,0.3124313236616118,1299.0214626359696
386,,,,,,,,0.31068919961679764,1302.3781160627295
387,,,,,,,,0.30891624359351766,1305.7347694894897
388,,,,,,,,0.3071120748600806,1309.0914229162497
389,,,,,,,,0.30527631142378525,1312.44807634301
390,,,,,,,,0.30340857010620514,1315.80472976977
391,,,,,,,,0.3015084666204023,1319.16138319653
392,,,,,,,,0.2995756156500906,1322.51803662329
393,,,,,,,,0.2976096309307561,1325.8746900500503
394,,,,,,,,0.2956101253327589,1329.2313434768103
395,,,,,,,,0.29357671094641946,1332.5879969035705
